town.id,gis.name,gis.join,year,cbsa,state.name,co.pre100pct,co.pub.pre100pct,co.priv.pre100pct,co.bwf.pre100pct,nn5.co.pre100pct,nn10.co.pre100pct,co.pre100,co.pub.pre100,co.priv.pre100,co.bwf.pre100,nn5.co.pre100,nn10.co.pre100,l5.co.pre100,l5.co.pub.pre100,l5.co.priv.pre100,l5.co.bwf.pre100,l5.nn5.co.pre100,l5.nn10.co.pre100,unemp.r.pre,emp.n.pre,labf.n.pre,i.units.pre,r.units.pre,ln.unempr.pre,ln.emp.n.pre,ln.labf.n.pre,ln.r.units.pre,mhhi.ia.pre,ln.mhhi.ia.pre,agricu.pre,arts.pre,ln.agricu.pre,ln.arts.pre,popcen.pre,ln.popcen.pre,for.pct,agg.pct,hiden.pct,loden.pct,other.pct,ndata.pct,urban90,suburb90,exurb90,rural90,ctydist100,ctydist30,ln.ctydist100,ln.ctydist30,ln.pop.cen90
2,Ansonia,G090009001220,2010,35300,Connecticut,22.96084404,20.56253624,2.398307323,0,13.15369034,13.57960892,3.176420927,3.070957422,1.22327745,0,2.6499753,2.679623842,3.176420927,3.070957422,1.22327745,0,2.631250381,2.665051222,6.679999828,9251.799805,9913.799805,41,40,2.038619518,9.132681847,9.201784134,3.713572025,63029.89844,11.05138016,0.003268621,0.049326466,0.003263291,0.048148498,19249,9.8652668,32.42489183,3.358753736,16.09730469,44.21422978,3.948501465,0,0,1,0,0,12.4991,7.17903,2.602622986,2.101573467,9.82032299
2,Ansonia,G090009001220,2015,35300,Connecticut,22.96084404,20.56253624,2.398307323,0,13.15369034,13.57960892,3.176420927,3.070957422,1.22327745,0,2.6499753,2.679623842,3.176420927,3.070957422,1.22327745,0,2.6499753,2.679623842,11.03999996,8618.400391,9689.799805,14,14,2.48823452,9.061770439,9.17893219,2.708050251,45269.32422,10.72040653,0.001291838,0.044744568,0.001291004,0.043772422,NA,NA,NA,NA,NA,NA,NA,NA,0,1,0,0,12.4991,7.17903,2.602622986,2.101573467,9.82032299
3,Ashford,G090015001430,1990,49340,Connecticut,19.42177963,8.463354111,10.95842743,0,27.15037155,21.25541496,3.016602039,2.247426748,2.481436253,0,3.337560654,3.102585316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,70735.58594,11.16671848,NA,NA,NA,NA,3764.050049,8.233516693,84.27872903,6.637389014,0.268524161,3.719719934,5.079068474,0,0,0,0,1,39.3454,31.8695,3.697477341,3.492545128,8.233516693
3,Ashford,G090015001430,1995,49340,Connecticut,19.9332962,8.708106995,11.22519112,0,28.04750824,22.15490723,3.041341066,2.272961378,2.503498554,0,3.368932724,3.142206669,3.016602039,2.247426748,2.481436253,0,3.337560654,3.102585316,5.880000114,2172.600098,2308.800049,107,107,1.92861867,7.684140205,7.744916439,4.68213129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.094203558,0,0,0,1,39.3454,31.8695,3.697477341,3.492545128,8.233516693
3,Ashford,G090015001430,2000,49340,Connecticut,20.81722641,8.716030121,12.10119534,0,28.46546745,22.91832924,3.082699776,2.273777246,2.5727036,0,3.383219004,3.174644947,3.041341066,2.272961378,2.503498554,0,3.368932724,3.142206669,3.980000019,2074.600098,2160.399902,97,97,1.605429888,7.638005733,7.67851162,4.584967613,76682.48438,11.24744129,0.018396847,0.06482698,0.018229673,0.062812328,4098,8.318498611,84.1625153,6.654997156,0.235949099,3.786630873,5.143338191,0,0,0,0,1,39.3454,31.8695,3.697477341,3.492545128,8.233516693
3,Ashford,G090015001430,2005,49340,Connecticut,25.41295052,8.716030121,16.69692039,0,29.20489693,23.76493454,3.273854494,2.273777246,2.873390675,0,3.408004045,3.209428787,3.082699776,2.273777246,2.5727036,0,3.383219004,3.174644947,3.099999905,2342.399902,2417.199951,124,124,1.4109869,7.759357929,7.790778637,4.828313828,NA,NA,NA,NA,NA,NA,NA,NA,84.07887662,6.654116749,0.247394391,3.80864105,5.194401802,0,0,0,0,1,39.3454,31.8695,3.697477341,3.492545128,8.233516693
3,Ashford,G090015001430,2010,49340,Connecticut,26.80839539,9.103408813,17.70498657,0,31.49068642,25.16876984,3.325337887,2.312872887,2.928790092,0,3.480953455,3.26456666,3.273854494,2.273777246,2.873390675,0,3.408004045,3.209428787,4.480000019,2499.399902,2616.800049,69,69,1.701105118,7.824205875,7.870089531,4.248495102,77372.46094,11.25639915,0.011599006,0.034797017,0.011532253,0.034205288,4317,8.370547295,83.93184864,6.65675797,0.249155205,3.87819321,5.26747559,0,0,0,0,1,39.3454,31.8695,3.697477341,3.492545128,8.233516693
3,Ashford,G090015001430,2015,49340,Connecticut,26.80839539,9.103408813,17.70498657,0,31.49068642,25.16876984,3.325337887,2.312872887,2.928790092,0,3.480953455,3.26456666,3.325337887,2.312872887,2.928790092,0,3.480953455,3.26456666,7.179999828,2366.399902,2549.399902,19,19,2.1016922,7.769547462,7.844005585,2.995732307,81402.20313,11.30716991,0.01216443,0.059144295,0.012091038,0.057461314,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,1,39.3454,31.8695,3.697477341,3.492545128,8.233516693
4,Avon,G090003002060,1990,25540,Connecticut,12.4789257,10.32545662,2.153469086,0,16.38716698,11.92225838,2.601127386,2.427052975,1.148503184,0,2.855732441,2.558951378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,118665.3125,11.68407059,NA,NA,NA,NA,13937.48047,9.542408943,64.49801651,7.874449535,1.555446822,21.80718769,4.271586916,0,0,0,1,0,14.3281,8.69074,2.729687691,2.271170855,9.542408943
4,Avon,G090003002060,1995,25540,Connecticut,12.93554401,10.5596571,2.375886202,0,17.01931572,12.47196484,2.634442806,2.44752121,1.216657877,0,2.891444206,2.600610971,2.601127386,2.427052975,1.148503184,0,2.855732441,2.558951378,3.579999924,7530.200195,7808.799805,227,227,1.521698952,8.926809311,8.963134766,5.429345608,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07364805,0,0,1,0,14.3281,8.69074,2.729687691,2.271170855,9.542408943
